ID,EQUIP_ID,CONNECTIVITYNODE_ID
TMP00049678,TMP00036406,-8250390
TMP00049679,TMP00036407,-8250388
TMP00049680,TMP00036408,-8250379
TMP00049681,TMP00036409,-8250378
TMP00049682,TMP00036410,-8250377
TMP00049683,TMP00036411,-8250376
TMP00049684,TMP00036412,-8250375
TMP00049685,TMP00036413,-8250374
TMP00049686,TMP00036414,-8250373
TMP00049687,TMP00036415,-8250365
TMP00049688,TMP00036416,-8250364
TMP00049689,TMP00036417,-8250363
TMP00049690,TMP00036418,-7775654
TMP00049692,TMP00036420,-8250330
TMP00049693,TMP00036421,-8250329
TMP00049694,TMP00036422,-8250328
TMP00049695,TMP00036423,-8250327
TMP00049696,TMP00036424,-8247159
TMP00049697,TMP00036425,-8247158
TMP00049698,TMP00036426,-8247157
TMP00049699,TMP00036427,-8247156
TMP00049700,TMP00036428,-8247155
TMP00049701,TMP00036429,-8247154
TMP00049702,TMP00036430,-8247153
TMP00049703,TMP00036431,-8247152
TMP00049705,TMP00036435,-8247023
TMP00049706,TMP00036436,-8447634
TMP00049707,TMP00036437,-8447630
TMP00049708,TMP00036438,-8447594
TMP00049709,TMP00036439,-8447582
TMP00049712,TMP00036442,-7783419
TMP00049713,TMP00036444,-7783424
TMP00049714,TMP00036445,-7783431
TMP00049715,TMP00036446,-7783433
TMP00049716,TMP00036447,-7783423
TMP00049717,TMP00036448,-7783422
TMP00049718,TMP00036449,-8479739
TMP00049719,TMP00036450,-8479738
TMP00049720,TMP00036451,-8479737
TMP00049721,TMP00036452,-8479736
TMP00049722,TMP00036453,-8479735
TMP00049723,TMP00036454,-8479734
TMP00049724,TMP00036455,-8479733
TMP00049725,TMP00036456,-8479732
TMP00049726,TMP00036457,-8247014
TMP00049727,TMP00036458,-8479728
TMP00049728,TMP00036459,-8247013
TMP00049729,TMP00036460,-8479723
TMP00049730,TMP00036461,-8247007
TMP00049731,TMP00036462,-8479684
TMP00049732,TMP00036463,-8479683
TMP00049733,TMP00036464,-8247005
TMP00049734,TMP00036465,-8479136
TMP00049735,TMP00036466,-7783617
TMP00049736,TMP00036467,-7783616
TMP00049737,TMP00036468,-7783615
TMP00049738,TMP00036469,-8246657
TMP00049739,TMP00036470,-8246635
TMP00049740,TMP00036471,-8246656
TMP00049741,TMP00036472,-8246508
TMP00049742,TMP00036473,-8228190
TMP00049743,TMP00036474,-8228189
TMP00049744,TMP00036475,-8228187
TMP00049745,TMP00036476,-8228186
TMP00049746,TMP00036477,-8228188
TMP00049747,TMP00036478,-8228185
TMP00049748,TMP00036479,-8228184
TMP00049749,TMP00036480,-8228004
TMP00049750,TMP00036481,-8228209
TMP00049751,TMP00036482,-8228208
TMP00049752,TMP00036483,-8228207
TMP00049753,TMP00036484,-8228206
TMP00049754,TMP00036485,-7783026
TMP00049755,TMP00036486,-7783025
TMP00049756,TMP00036487,-7783024
TMP00049757,TMP00036488,-7783023
TMP00049758,TMP00036489,-7783022
TMP00049759,TMP00036490,-7783021
TMP00049760,TMP00036491,-7783020
TMP00049761,TMP00036492,-8228205
TMP00049762,TMP00036493,-8228178
TMP00049763,TMP00036494,-8228134
TMP00049764,TMP00036495,-8228006
TMP00049766,TMP00036497,-8448500
TMP00049767,TMP00036498,-8448499
TMP00049768,TMP00036499,-8448498
TMP00049769,TMP00036500,-7782332
TMP00049770,TMP00036501,-7782331
TMP00049771,TMP00036502,-7782386
TMP00049772,TMP00036503,-8228003
TMP00049773,TMP00036504,-8228002
TMP00049774,TMP00036505,-8228001
TMP00049775,TMP00036506,-8228000
TMP00049776,TMP00036507,-8227999
TMP00049777,TMP00036508,-8448404
TMP00049778,TMP00036509,-7782449
TMP00049779,TMP00036510,-7782450
TMP00049780,TMP00036511,-7782451
TMP00049781,TMP00036512,-7782448
TMP00049782,TMP00036513,-7782447
TMP00049783,TMP00036514,-7782455
TMP00049784,TMP00036515,-8227288
