component,设备数量,非末端数量,馈线数量,馈线,power_source,feeder_trace
3702,1,1,1,TMP00000002,True,True
3726,1,1,1,TMP00000125,True,True
3758,1,1,1,TMP00000175,True,True
3770,1,1,1,TMP00000052,True,True
3779,1,1,1,TMP00000013,True,True
3783,1,1,1,TMP00000070,True,True
3793,1,1,1,TMP00000050,True,True
3808,1,1,1,TMP00000042,True,True
3816,1,1,1,TMP00000076,True,True
3829,1,1,1,TMP00000012,False,False
3831,1,1,1,TMP00000088,True,True
3834,1,1,1,TMP00000037,False,True
3835,1,1,1,TMP00000188,False,True
3850,1,1,1,TMP00000084,True,True
3855,1,1,1,TMP00000129,True,True
3858,1,1,1,TMP00000036,True,True
3869,1,1,1,TMP00000129,True,True
3873,1,1,1,TMP00000167,False,True
3877,1,1,1,TMP00000125,True,True
3879,2,2,1,TMP00000079,False,True
3884,1,1,1,TMP00000140,False,False
3889,1,1,1,TMP00000118,True,True
3890,1,1,1,TMP00000092,True,True
3892,1,1,1,TMP00000009,True,True
3911,1,1,1,TMP00000098,False,False
3916,1,1,1,TMP00000013,True,True
3921,1,1,1,TMP00000076,True,True
3922,1,1,1,TMP00000095,False,True
3923,1,1,1,TMP00000188,False,True
3934,1,1,1,TMP00000140,False,False
3942,3,2,1,TMP00000069,False,False
3944,1,1,1,TMP00000188,False,True
3975,1,1,1,TMP00000140,False,False
3977,1,1,1,TMP00000035,False,False
3995,5,5,1,TMP00000140,False,False
3998,1,1,1,TMP00000082,True,True
4013,1,1,1,TMP00000128,True,True
4015,1,1,1,TMP00000146,False,True
4023,1,1,1,TMP00000027,True,True
4026,1,1,1,TMP00000017,True,True
4044,1,1,1,TMP00000140,False,False
4046,1,1,1,TMP00000113,False,True
4047,1,1,1,TMP00000043,True,True
4052,1,1,1,TMP00000013,True,True
4054,3,2,1,TMP00000050,True,True
4057,1,1,1,TMP00000070,True,True
4084,1,1,1,TMP00000019,True,True
4087,1,1,1,TMP00000036,True,True
4099,1,1,1,TMP00000013,True,True
4101,1,1,1,TMP00000013,True,True
4113,1,1,1,TMP00000093,True,True
4122,1,1,1,TMP00000044,True,True
4124,1,1,1,TMP00000133,True,True
4134,1,1,1,TMP00000148,False,False
4137,1,1,1,TMP00000188,False,True
4144,3,3,1,TMP00000038,True,True
4166,1,1,1,TMP00000140,False,False
4172,1,1,1,TMP00000107,False,False
4178,1,1,1,TMP00000055,True,True
4201,1,1,1,TMP00000090,True,True
4226,2,1,1,TMP00000023,False,False
4230,1,1,1,TMP00000079,False,True
4249,1,1,1,TMP00000050,True,True
4250,1,1,1,TMP00000093,True,True
4251,1,1,1,TMP00000082,True,True
4262,1,1,1,TMP00000093,True,True
4272,1,1,1,TMP00000040,True,True
4294,1,1,1,TMP00000050,True,True
4298,1,1,1,TMP00000119,True,True
4302,1,1,1,TMP00000044,True,True
4304,1,1,1,TMP00000044,True,True
4315,1,1,1,TMP00000060,True,True
4318,1,1,1,TMP00000001,True,True
4320,1,1,1,TMP00000015,True,True
4335,1,1,1,TMP00000013,True,True
4365,1,1,1,TMP00000125,True,True
4367,1,1,1,TMP00000013,True,True
4377,1,1,1,TMP00000114,False,False
4385,1,1,1,TMP00000133,True,True
4399,1,1,1,TMP00000102,True,True
4401,1,1,1,TMP00000036,True,True
4404,1,1,1,TMP00000038,True,True
4406,1,1,1,TMP00000093,True,True
4417,1,1,1,TMP00000089,True,True
4428,1,1,1,TMP00000140,False,False
